epoch,train_loss,train_f1,val_loss,val_f1,lr
1,0.18502711266464,0.8136816040887889,0.1480978810443328,0.849610794991364,0.0009997535269026829
2,0.14546020145978694,0.845792846318937,0.138456796872768,0.8588128807103894,0.0009990143508499217
3,0.1353106037890943,0.8554003672755431,0.13210703976407884,0.8660218965499518,0.0009977832013192385
4,0.12914132074089152,0.8615862546221019,0.12440108655351621,0.8741637997196041,0.0009960612933065818
5,0.12409338707905587,0.8664270439668413,0.12760860413135047,0.8719473108167876,0.0009938503261272714
6,0.12048180171120543,0.8701438285207286,0.11849347899719796,0.8814621749088348,0.00099115248173898
7,0.1175562441744986,0.8732260867269668,0.12182209758515364,0.8766093395907496,0.0009879704225884043
8,0.11511245555130824,0.8757472357695857,0.11968731547061068,0.8784711494621934,0.0009843072889837512
9,0.1132718206655233,0.8777739061726764,0.11237473817127176,0.8871578714641909,0.000980166695995633
10,0.11155507299121868,0.8795182879120492,0.11256835324534113,0.8870801089707419,0.0009755527298894294
11,0.10958493106861293,0.8819400491238893,0.10869950096836851,0.8916777769521022,0.0009704699440926358
12,0.10850879520723382,0.8829706279039163,0.10478432044950103,0.8958304860287571,0.0009649233547011817
13,0.10719686576995943,0.8845431022225984,0.10609722251457901,0.8940668417069202,0.0009589184355291487
14,0.10558059048386038,0.8860083471513701,0.10289924282738716,0.8980728956765924,0.000952461112706777
15,0.10485051482022777,0.8869312763207267,0.10385886073082844,0.8965569219014323,0.00094555775883209
16,0.10348854181176623,0.8884366503381541,0.10555328298248944,0.8946991517709675,0.0009382151866819101
17,0.10259167274670823,0.8891825298962845,0.1053602425702687,0.8963590450515242,0.0009304406424884702
18,0.1015886912039328,0.8903363699215476,0.09975980867728076,0.9017868078439194,0.000922241798788257
19,0.10088728276442419,0.8909476247643768,0.10020308738972113,0.9011389737544155,0.0009136267468501441
20,0.09999721048326664,0.8920546827466569,0.0972675350025316,0.9046707753887063,0.0009046039886902867
21,0.09949447588012357,0.8927161311895786,0.09744171179159092,0.9040795323381181,0.0008951824286816577
22,0.09862231352546062,0.8933662575921469,0.09715794226023756,0.9031603462856302,0.0008853713647665071
23,0.09814366178022291,0.8937799053345122,0.09808031245646133,0.9038593192093638,0.0008751804792804149
24,0.0972697172882566,0.8948510724723501,0.0953987113901708,0.9065599021882454,0.0008646198293969954
25,0.09699701170588547,0.895164413497765,0.09955401223187461,0.9018747008361322,0.0008536998372026807
26,0.09644948494691288,0.8956119294072711,0.09954449710737548,0.9020244261807583,0.0008424312794113804
27,0.09606832632333577,0.8961413459359575,0.09684783461768012,0.9039836738724296,0.0008308252767291644
28,0.09517744278349917,0.8969593151617109,0.09426573385572214,0.9073257988599928,0.0008188932828794708
29,0.09492179140963314,0.8972063676769894,0.09419370196211282,0.907329688158421,0.0008066470732996621
30,0.09433607796247216,0.8978282194536377,0.09620298885441428,0.9057976068996737,0.0007940987335200907
31,0.09429792779796695,0.8980773530510023,0.09539731888351245,0.9065178632640035,0.0007812606472371396
32,0.09357917265802103,0.8986034871592228,0.09349919992513876,0.9078108517138797,0.0007681454840920091
33,0.0930499217432,0.89922578153648,0.09333903996680866,0.9085547099450646,0.0007547661871673109
34,0.09242341898608285,0.9000357171550806,0.09151803818469575,0.9104234760113062,0.0007411359602138072
35,0.09214363354174374,0.9001525066803274,0.09202117016427812,0.9105370451717195,0.000727268254619904
36,0.091397918110748,0.900995535396812,0.09308587685931444,0.9091154463882403,0.0007131767561367542
37,0.09161831248922267,0.9008394926122346,0.09211098756986999,0.9094781761691533,0.0006988753713720732
38,0.09082183542771081,0.9016298681997146,0.09227012874328826,0.9100991879943413,0.000684378214065997
39,0.09066057326846817,0.9018726438321902,0.09632892523761295,0.905784683077491,0.0006696995911625234
40,0.09005608190547269,0.9024564634693957,0.09313592626972603,0.9085089558439406,0.0006548539886902865
41,0.08971549398319398,0.9027095188960512,0.09438152235638676,0.9074745173746317,0.0006398560574665953
42,0.08974214573837608,0.9026726787142499,0.0949748509615383,0.9065603587525649,0.0006247205986388451
43,0.08922213699271589,0.9034465306673184,0.08996586261665454,0.9120144021968498,0.0006094625490775733
44,0.08876071310048614,0.9037804129834709,0.08866529962831037,0.9134037415067695,0.0005940969666355698
45,0.08832389192838812,0.9044711921033358,0.08769763429465133,0.9146923940107415,0.0005786390152875956
46,0.08797407592639904,0.9046298200696672,0.09165425794643772,0.9100769842909896,0.0005631039501653703
47,0.08771568505081907,0.9049123145427638,0.08839717911079585,0.9143684999725552,0.0005475071025025981
48,0.08727089191806468,0.9054901691733029,0.09070506314061513,0.9120058363488661,0.0005318638645048923
49,0.08684380830724506,0.9059736727872448,0.08843353057010915,0.9140607234036981,0.0005161896741595253
50,0.08663185008897484,0.9060816940658059,0.08821309213118939,0.9145952600073559,0.0005005000000000002
51,0.08620503833305705,0.9066909781216655,0.08667225975404921,0.9158439324923623,0.0004848103258404751
52,0.08589406819656109,0.907069461099725,0.08775067778207876,0.9147603578978815,0.0004691361354951082
53,0.08564596105469234,0.9073014816196673,0.08502244189862083,0.9181457326393632,0.00045349289749740224
54,0.08523960225009129,0.9075925833745678,0.08826532882492524,0.9140699928634086,0.0004378960498346302
55,0.0850309087521723,0.9078348141141451,0.08785550785189203,0.9145100264670288,0.0004223609847124048
56,0.08465609284943278,0.9081731583890785,0.09384039384331455,0.90832758194142,0.0004069030333644307
57,0.08441966694977947,0.9081881960293982,0.08508821484010261,0.9179341538594797,0.0003915374509224273
58,0.08401965365420938,0.9090708906577998,0.08648589586799554,0.9157609765070814,0.0003762794013611551
59,0.08351595600798027,0.9092864562844822,0.08391744650150612,0.9189901081496791,0.00036114394253340513
60,0.08325767572523747,0.9098063843837468,0.08428364337498534,0.9185568377264695,0.000346146011309714
61,0.0835543630008399,0.9093348376771186,0.09066103241129701,0.9124963570446472,0.00033130040883747703
62,0.08274524398357037,0.9102486552573501,0.08773488351897354,0.9149285989423839,0.0003166217859340036
63,0.08253192049645026,0.9104213993386447,0.08638589916718674,0.9166152313306378,0.0003021246286279271
64,0.08236551514114818,0.9107398690485728,0.08377267214449849,0.9188816286274681,0.00028782324386324626
65,0.08195989320160789,0.9110604408658489,0.08274613847259422,0.9206211756370054,0.00027373174538009644
66,0.08148984832550031,0.9115196733901034,0.08694915607292453,0.9157261564854635,0.00025986403978619317
67,0.08166957335012621,0.9113734786308322,0.08415598280398072,0.9191777305729046,0.00024623381283268956
68,0.08143451292060067,0.9115563938246791,0.08180950524406483,0.9216102440312115,0.00023285451590799108
69,0.08098036435094244,0.9120266777328145,0.08410114355185205,0.9191138528536731,0.00021973935276286074
70,0.08077690517516097,0.9123317291350147,0.08263409241171805,0.920255609300228,0.00020690126647990976
71,0.0804379466730812,0.9127488789093327,0.08244889604658956,0.9208245534585882,0.00019435292670033822
72,0.08043249203637352,0.9127789002273796,0.08085496653370382,0.9228248057323496,0.0001821067171205295
73,0.07993491180626065,0.9133007812126877,0.0821386254509906,0.9210911204539651,0.000170174723270836
74,0.07979564881268454,0.9135479144997737,0.08112913126432256,0.9222978148345399,0.00015856872058862001
75,0.07951949216185646,0.9137237394131245,0.08208531391960062,0.9213531900973488,0.00014730016279731957
76,0.07923976806877002,0.9140152280111422,0.08077930107734979,0.9229683482169918,0.00013638017060300508
77,0.079220101765239,0.9140738832373676,0.08108850058158291,0.9226056314874885,0.00012581952071958545
78,0.07904478417699021,0.9141899580807281,0.0820394375859278,0.9213588039483532,0.00011562863523349334
79,0.07872838575248878,0.9143854284738608,0.0810608976935617,0.9225269591020391,0.00010581757131834266
80,0.07875818674539768,0.9144248801145464,0.0801511231293551,0.9233710135219483,9.639601130971382e-05
81,0.07829610150882654,0.9150014521692357,0.07936661769092498,0.9241943083992442,8.737325314985643e-05
82,0.07822827153086029,0.9150314389953973,0.07930691706804702,0.9241203592080861,7.875820121174359e-05
83,0.07806343958111756,0.9152518436933523,0.0825812907837608,0.9206337726418757,7.05593575115301e-05
84,0.07777778811561417,0.9156062536729765,0.0803372838907438,0.9232345448073601,6.278481331809015e-05
85,0.07772258946637436,0.9157587142525461,0.07924808611455979,0.9246784789316794,5.54422411679103e-05
86,0.07754342146888749,0.9158613153848854,0.07939661591775735,0.9245370941174483,4.853888729322334e-05
87,0.07747624914709325,0.9160324860391683,0.07906673277668971,0.9247868255923853,4.2081564470851536e-05
88,0.07733618178778001,0.9161193776572701,0.07840023469797457,0.9254801033317293,3.6076645298818454e-05
89,0.07723119729980804,0.9161388485907659,0.07910832237212645,0.9247887516343931,3.053005590736439e-05
90,0.0770851793485315,0.9162565197523123,0.07878920701560897,0.9249760281466873,2.5447270110570814e-05
91,0.07711929389846722,0.9164248804572452,0.07887706598847492,0.9249009806122425,2.0833304004366997e-05
92,0.07708384385670677,0.916478281417421,0.0791634317507241,0.9248442894328187,1.6692711016248837e-05
93,0.07699147391605683,0.9165052148805645,0.07832946840535346,0.9256092288849884,1.3029577411595715e-05
94,0.07687404211847029,0.9167657936800596,0.07847351664479635,0.9255286057503854,9.847518261019987e-06
95,0.07693980006841492,0.9165445825954235,0.07983402675079473,0.9240185435959142,7.14967387272874e-06
96,0.07672014815008567,0.9167759665518382,0.08120332113948875,0.9226826789531763,4.9387066934183575e-06
97,0.07677055493652697,0.9167728116497317,0.07865574479131497,0.9253635152435981,3.2167986807615425e-06
98,0.07687675298923302,0.9166096424695684,0.07779013374585668,0.9262243998929017,1.9856491500783564e-06
99,0.07664863723444312,0.9168375983140172,0.07880926863055686,0.9248394557313528,1.2464730973170658e-06
100,0.07660445042233886,0.9168655532897965,0.07791139435397328,0.9259377316383448,1e-06
